Title	Presenters	Description	Audio	URL																				
"B H Roberts, Individual Responsibility and the 13th Article of Faith"		"SL80001, B H Roberts, Individual Responsibility and the 13th Article of Faith"	SL80001	http://sunstonemagazine.com/audio/SL80001.mp3																				
Ethical Dilemmas in the Mormon View of Immortality		"SL80002, Ethical Dilemmas in the Mormon View of Immortality"	SL80002	http://sunstonemagazine.com/audio/SL80002.mp3																				
Prolegomena to a Study of the Role of God in LDS History		"SL80003, Prolegomena to a Study of the Role of God in LDS History"	SL80003	http://sunstonemagazine.com/audio/SL80003.mp3																				
Is There a Place for Theology in Mormon Life?		"SL80004, Is There a Place for Theology in Mormon Life?"	SL80004	http://sunstonemagazine.com/audio/SL80004.mp3																				
Personal Conscience and Priesthood Authority: Perspectives on a Mormon Dilemma		"SL80005, Personal Conscience and Priesthood Authority: Perspectives on a Mormon Dilemma"	SL80005	http://sunstonemagazine.com/audio/SL80005.mp3																				
The Book of Mormon As a Microcosm of the World: a Structural Approach--&--Social Evolution in the Book of Mormon		"SL80006, The Book of Mormon As a Microcosm of the World: a Structural Approach--&--Social Evolution in the Book of Mormon"	SL80006	http://sunstonemagazine.com/audio/SL80006.mp3																				
Toward a Mormon Concept of Original Sin		"SL80007, Toward a Mormon Concept of Original Sin"	SL80007	http://sunstonemagazine.com/audio/SL80007.mp3																				
Joseph Smith's Egyptian Papers		"SL80008, Joseph Smith's Egyptian Papers"	SL80008	http://sunstonemagazine.com/audio/SL80008.mp3																				
Mormonism and the Male/Female God of the 19th Century: A Practical Mysticism		"SL80009, Mormonism and the Male/Female God of the 19th Century: A Practical Mysticism"	SL80009	http://sunstonemagazine.com/audio/SL80009.mp3																				
Adoption of the Current Interpretation of the Word of Wisdom		"SL80010, Adoption of the Current Interpretation of the Word of Wisdom"	SL80010	http://sunstonemagazine.com/audio/SL80010.mp3																				
Being Wrong' in Mormon Theology		"SL80011, 'Being Wrong' in Mormon Theology"	SL80011	http://sunstonemagazine.com/audio/SL80011.mp3																				
The Fading of the Pharaoh’s Curse: A Retrospective of the Portents and Preparation for the New Revelation on Priesthood Eligibility		"SL80012, The Fading of the Pharaoh’s Curse: A Retrospective of the Portents and Preparation for the New Revelation on Priesthood Eligibility"	SL80012	http://sunstonemagazine.com/audio/SL80012.mp3																				
Exploring the Nether Regions: The Mormon Concept of Hell		"SL80013, Exploring the Nether Regions: The Mormon Concept of Hell"	SL80013	http://sunstonemagazine.com/audio/SL80013.mp3																				
The Adam-God Doctrine Reappraised As an Evolutionary Step in the Development of the Mormon Doctrine of Deity		"SL80014, The Adam-God Doctrine Reappraised As an Evolutionary Step in the Development of the Mormon Doctrine of Deity"	SL80014	http://sunstonemagazine.com/audio/SL80014.mp3																				
Restoration: Divinity's Sphere of Action in Time and Space		"SL80015, Restoration: Divinity's Sphere of Action in Time and Space"	SL80015	http://sunstonemagazine.com/audio/SL80015.mp3																				
Thoughts on the Doctrine of Man		"SL80016, Thoughts on the Doctrine of Man"	SL80016	http://sunstonemagazine.com/audio/SL80016.mp3																				
From Kingdom to State: Theological Implications of the Mormon Drive to Statehood		"SL80017, From Kingdom to State: Theological Implications of the Mormon Drive to Statehood"	SL80017	http://sunstonemagazine.com/audio/SL80017.mp3																				
